,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Item_Outlet_Sales
16,FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,OUT045,2002,Medium,Tier 2,Supermarket Type1,3178.8934469723968
17,DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,2783.2420075499563
18,NCM42,12.695633368756642,Low Fat,0.028184344,Household,109.6912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3248.6035648921847
19,FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136,OUT010,1998,Medium,Tier 3,Grocery Store,1130.598172479305
20,FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,OUT013,1987,High,Tier 3,Supermarket Type1,2773.321405349186
21,NCJ31,19.2,Low Fat,0.182619235,Others,239.9196,OUT035,2004,Small,Tier 2,Supermarket Type1,3830.5144353019928
22,FDG52,13.65,LF,0.065630844,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,806.6446418880969
23,NCL19,12.695633368756642,Low Fat,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,375.4375736290108
24,FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,2980.146659849184
25,FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,OUT010,1998,Medium,Tier 3,Grocery Store,1462.4556928182055
26,NCF19,13.0,Low Fat,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,883.3827916356308
27,NCE06,5.825,Low Fat,0.091485232,Household,161.3894,OUT046,1997,Small,Tier 1,Supermarket Type1,2614.8704606442557
28,DRC27,13.8,Low Fat,0.058102469,Dairy,244.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,3915.8292327540653
29,FDE21,12.8,LF,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1934.89353753752
30,NCR42,12.695633368756642,Low Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,-1349.2885348047478
31,FDX51,9.5,Regular,0.022148582,Meat,194.9452,OUT018,2009,Medium,Tier 3,Supermarket Type2,2862.78556926202
32,NCR06,12.5,Low Fat,0.006792707,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,476.72979063573393
33,FDU31,12.695633368756642,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Medium,Tier 3,Supermarket Type3,4971.051227820133
34,FDU59,5.78,Low Fat,0.096931426,Breads,164.2552,OUT017,2007,Medium,Tier 2,Supermarket Type1,2599.81065958973
35,FDR03,12.695633368756642,Regular,0.008693632,Meat,205.098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4756.740093223947
36,FDS49,12.695633368756642,Low Fat,0.078961284,Canned,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type3,2742.9782896978336
37,FDD48,10.395,Low Fat,0.050479463,Baking Goods,114.0176,OUT010,1998,Medium,Tier 3,Grocery Store,-83.05729791905333
38,NCF18,18.35,Low Fat,0.089485918,Household,192.1504,OUT017,2007,Medium,Tier 2,Supermarket Type1,3100.0865489960047
39,NCD43,12.695633368756642,Low Fat,0.01594238,Household,103.3964,OUT027,1985,Medium,Tier 3,Supermarket Type3,3154.7900971614013
40,NCD54,21.1,Low Fat,0.029127115,Household,143.3786,OUT018,2009,Medium,Tier 3,Supermarket Type2,2069.7122582962847
41,FDY19,19.75,LF,0.069236421,Fruits and Vegetables,116.6466,OUT010,1998,Medium,Tier 3,Grocery Store,-46.37404914643025
42,NCY54,8.43,Low Fat,0.178699961,Household,173.9422,OUT017,2007,Medium,Tier 2,Supermarket Type1,2758.7983846526445
43,NCL19,15.35,Low Fat,0.015740089,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2,2063.1821165326137
44,FDP23,6.71,Low Fat,0.059565107,Breads,217.2166,OUT010,1998,Medium,Tier 3,Grocery Store,1515.628596977674
45,FDC26,10.195,Low Fat,0.126277921,Canned,112.1886,OUT013,1987,High,Tier 3,Supermarket Type1,1768.3263770130206
46,FDR14,11.65,Low Fat,0.291322397,Dairy,55.8298,OUT010,1998,Medium,Tier 3,Grocery Store,-1095.3828686656066
47,NCS41,12.85,Low Fat,0.053433908,Health and Hygiene,183.2608,OUT035,2004,Small,Tier 2,Supermarket Type1,2993.410666010313
48,FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1,3976.560036854899
49,FDU34,18.25,Low Fat,0.075194929,Snack Foods,124.9046,OUT046,1997,Small,Tier 1,Supermarket Type1,2063.8015148038476
50,DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.0614,OUT046,1997,Small,Tier 1,Supermarket Type1,931.217836841176
51,FDM03,12.65,Low Fat,0.122928415,Meat,106.6938,OUT013,1987,High,Tier 3,Supermarket Type1,1681.9033849283069
52,FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,Medium,Tier 2,Supermarket Type1,2957.4483898095154
53,FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,Medium,Tier 2,Supermarket Type1,2025.020033495592
54,FDV44,12.695633368756642,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Medium,Tier 3,Supermarket Type3,4508.5655016689
55,FDG02,7.855,Low Fat,0.011278673,Canned,188.8188,OUT049,1999,Medium,Tier 1,Supermarket Type1,3017.749055891671
56,FDA09,13.35,Regular,0.0,Snack Foods,179.666,OUT013,1987,High,Tier 3,Supermarket Type1,2933.8679830895394
57,FDT04,17.25,LF,0.106952661,Frozen Foods,38.3822,OUT013,1987,High,Tier 3,Supermarket Type1,605.6471296243922
58,FDL58,12.695633368756642,Regular,0.129825457,Snack Foods,263.2568,OUT019,1985,Small,Tier 1,Grocery Store,2280.911737784365
59,FDE52,10.395,Regular,0.029947409,Dairy,90.1514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1514.8310805424899
60,FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444,OUT035,2004,Small,Tier 2,Supermarket Type1,2409.6058625779037
61,FDL51,20.7,Regular,0.047760002,Dairy,214.9876,OUT017,2007,Medium,Tier 2,Supermarket Type1,3487.9101622132507
62,NCY42,12.695633368756642,Low Fat,0.015089147,Household,141.347,OUT027,1985,Medium,Tier 3,Supermarket Type3,3751.622305826974
63,FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,Medium,Tier 2,Supermarket Type1,1604.6132543195322
64,FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.6998,OUT045,2002,Medium,Tier 2,Supermarket Type1,2441.824064259
65,FDB35,12.695633368756642,Regular,0.064306056,Starchy Foods,90.3804,OUT027,1985,Medium,Tier 3,Supermarket Type3,2921.4545523468564
66,FDA22,7.435,low fat,0.08493006,Starchy Foods,165.8158,OUT017,2007,Medium,Tier 2,Supermarket Type1,2689.7702588837897
67,NCL06,14.65,Low Fat,0.072066634,Household,262.5594,OUT046,1997,Small,Tier 1,Supermarket Type1,4228.912526982984
68,FDI35,14.0,Low Fat,0.041256807,Starchy Foods,181.2634,OUT013,1987,High,Tier 3,Supermarket Type1,2881.5399981178684
69,NCW42,18.2,Low Fat,0.058587558,Household,221.6456,OUT045,2002,Medium,Tier 2,Supermarket Type1,3576.328052532522
70,NCX06,17.6,Low Fat,0.015711434,Household,180.0976,OUT049,1999,Medium,Tier 1,Supermarket Type1,2919.725733818075
71,FDC37,12.695633368756642,Low Fat,0.032714163,Baking Goods,108.1938,OUT027,1985,Medium,Tier 3,Supermarket Type3,3199.871642824625
72,FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1715.023199894952
73,DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,Tier 1,Supermarket Type1,3859.904757547584
74,NCG06,16.35,Low Fat,0.029505077,Household,256.2646,OUT045,2002,Medium,Tier 2,Supermarket Type1,4129.29519703448
75,DRC36,13.0,Regular,0.045076104,Soft Drinks,173.7054,OUT045,2002,Medium,Tier 2,Supermarket Type1,2804.3729548729048
76,FDV21,12.695633368756642,Low Fat,0.299544153,Snack Foods,124.8704,OUT019,1985,Small,Tier 1,Grocery Store,5.089281204611098
77,FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.6392,OUT046,1997,Small,Tier 1,Supermarket Type1,2390.821593146035
78,DRP47,12.695633368756642,Low Fat,0.246178257,Hard Drinks,252.4382,OUT019,1985,Small,Tier 1,Grocery Store,1988.2776084854113
79,FDA14,16.1,LF,0.065128984,Dairy,145.176,OUT013,1987,High,Tier 3,Supermarket Type1,2294.099472837289
80,DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,Tier 2,Supermarket Type1,2503.621927960568
81,FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,Tier 3,Supermarket Type2,1402.4122781175884
82,NCH29,5.51,Low Fat,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Small,Tier 1,Supermarket Type1,1617.8224164105982
83,FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,High,Tier 3,Supermarket Type1,3051.4896177665682
84,FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,Medium,Tier 2,Supermarket Type1,2851.9667215770146
85,FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,1884.9545237690345
86,FDT59,13.65,LF,0.015911432,Breads,230.5668,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.820760443268
87,FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062,OUT046,1997,Small,Tier 1,Supermarket Type1,3673.990492144067
88,FDR49,8.71,Low Fat,0.139510771,Canned,46.2376,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.1041014904608
89,FDB03,17.75,Regular,0.262504325,Dairy,242.2538,OUT010,1998,Medium,Tier 3,Grocery Store,1887.4214267275665
90,FDN39,19.35,Regular,0.0,Meat,165.7816,OUT045,2002,Medium,Tier 2,Supermarket Type1,2725.3403487124992
91,FDX02,12.695633368756642,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type3,4997.18821306487
92,FDQ16,12.695633368756642,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3196.0911329397263
93,FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1296.0271071387979
94,NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,1964.3661301289576
95,FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,847.1738091723373
96,FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2294.692455593793
97,FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2100.430767091138
98,FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724,OUT045,2002,Medium,Tier 2,Supermarket Type1,2993.339283345202
99,NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,1321.0974826987822
100,FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2173.556255198975
101,FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,Medium,Tier 2,Supermarket Type1,1608.935180913994
102,FDZ25,15.7,Regular,0.02777326,Canned,169.279,OUT017,2007,Medium,Tier 2,Supermarket Type1,2768.008277033718
103,FDG12,6.635,reg,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,2100.578464867286
104,DRB01,12.695633368756642,low fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,1139.9076945226002
105,NCC43,12.695633368756642,Low Fat,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type3,5436.547434630806
106,FDX13,12.695633368756642,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,2023.5175890323262
107,FDM22,14.0,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,928.7093948030088
108,FDJ03,12.695633368756642,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,2281.5179090175857
109,FDU14,17.75,Low Fat,0.0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,3725.6011281624337
110,FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,Medium,Tier 3,Grocery Store,664.65130529731
111,FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,3037.978905983449
112,FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,Medium,Tier 3,Grocery Store,-687.3591268328403
113,FDE28,12.695633368756642,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type3,5141.294620400309
114,FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1562.2136265844792
115,DRL23,12.695633368756642,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,3162.343870552652
116,FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,978.5222391229745
117,FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,1503.4677204104719
118,FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,1644.9198622756207
119,FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,Medium,Tier 2,Supermarket Type1,1929.7492539029108
120,FDS60,12.695633368756642,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,4309.24220335545
121,NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,Medium,Tier 2,Supermarket Type1,593.1699785572068
122,FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,1443.0880671794644
123,FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1405.263193738454
124,FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,3201.799429004634
125,FDZ36,12.695633368756642,Regular,0.0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,4472.878700435787
126,FDK27,11.0,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,Medium,Tier 2,Supermarket Type1,1967.928318133375
127,FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,353.2442329804237
128,FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1517.159224341956
129,FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,1759.792449188766
130,FDW60,5.44,Regular,0.017131453,Baking Goods,177.837,OUT018,2009,Medium,Tier 3,Supermarket Type2,2594.721043853446
131,FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,1899.561323465337
132,NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,1845.0410065520628
133,FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,Medium,Tier 3,Grocery Store,-403.3361746131943
134,DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1246.2549030848927
135,FDT28,12.695633368756642,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,488.45238902892333
136,FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,423.51624780527504
137,FDR60,14.3,LF,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1184.922163500562
138,FDC50,12.695633368756642,LF,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,-490.10943939727485
139,FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,2392.6175074361418
140,DRF48,5.73,Low Fat,0.0,Soft Drinks,188.3898,OUT010,1998,Medium,Tier 3,Grocery Store,1077.3576978319693
141,FDQ47,7.155,Regular,0.168186376,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,617.1823827284684
142,DRN36,15.2,low fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1615.7627111132238
143,NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,2149.489582939146
144,FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,1547.4194365458043
145,NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.9336,OUT045,2002,Medium,Tier 2,Supermarket Type1,2060.1609911332016
146,NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,2519.7301677229843
147,FDJ08,12.695633368756642,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type3,4466.059705479471
148,NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,Medium,Tier 2,Supermarket Type1,1777.170173302659
149,NCD19,12.695633368756642,Low Fat,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2375.852424778924
150,FDL46,20.35,Low Fat,0.0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,1963.396959218946
151,FDM20,10.0,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,Medium,Tier 2,Supermarket Type1,3948.992734690067
152,NCI06,11.3,Low Fat,0.07986963,Household,180.466,OUT010,1998,Medium,Tier 3,Grocery Store,973.9462709888567
153,DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,4135.754890263128
154,NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2265.7634411784065
155,FDS23,4.635,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,2011.6138596200558
156,FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.7722837701403
157,FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,1024.045533611653
158,DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,Medium,Tier 2,Supermarket Type1,1336.9310289648165
159,DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,927.9969115064032
160,FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,Medium,Tier 2,Supermarket Type1,2531.9488182044843
161,NCN14,19.1,Low Fat,0.091900406,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,2966.7811904129317
162,FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,3694.388267428944
163,FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,2969.05873790968
164,FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1257.144533507902
165,FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,Medium,Tier 3,Grocery Store,-156.3905867603171
166,FDS24,12.695633368756642,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2892.9708544844793
167,FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2776.2297795005284
168,FDS48,15.15,Low Fat,0.0,Baking Goods,150.4708,OUT045,2002,Medium,Tier 2,Supermarket Type1,2453.4137065345426
169,FDK26,5.46,Regular,0.053858378,Canned,186.924,OUT010,1998,Medium,Tier 3,Grocery Store,1082.1869926966574
170,FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,Medium,Tier 2,Supermarket Type1,3036.776513994933
171,NCH54,13.5,LF,0.073080167,Household,161.492,OUT017,2007,Medium,Tier 2,Supermarket Type1,2586.637369293116
172,NCP14,8.275,Low Fat,0.184602443,Household,106.5306,OUT010,1998,Medium,Tier 3,Grocery Store,-237.35434658199165
173,FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,Medium,Tier 3,Grocery Store,-1237.7255991595803
174,FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,Medium,Tier 2,Supermarket Type1,2406.0160612748987
175,FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,3385.734474488035
176,FDS12,12.695633368756642,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type3,3446.630801249619
177,FDR39,12.695633368756642,Low Fat,0.083393481,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,4311.1393384314415
178,FDP12,12.695633368756642,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,2097.4522808356573
179,DRF60,12.695633368756642,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type3,5186.530993210983
180,FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,1780.702096977568
181,FDF50,4.905,low fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2907.2232154387125
182,FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,3968.945312810895
183,NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,Medium,Tier 2,Supermarket Type1,933.7594287921734
184,NCM53,18.75,Low Fat,0.087105823,Health and Hygiene,108.228,OUT010,1998,Medium,Tier 3,Grocery Store,-165.28790849018947
185,NCN18,8.895,Low Fat,0.0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1823.9692815557373
186,FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,3250.2643233457416
187,FDF11,10.195,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,Tier 3,Supermarket Type1,3828.9638077050045
188,DRI59,9.5,Low Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Medium,Tier 1,Supermarket Type1,3552.8352411690626
189,NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,2779.102792038689
190,FDM44,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,1702.1530213083765
191,FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,3515.8975340975153
192,FDV24,5.635,Low Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,2426.2263299067754
193,FDI50,12.695633368756642,Regular,0.054001526,Canned,227.8352,OUT019,1985,Small,Tier 1,Grocery Store,1739.1831291818762
194,FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,936.3814470998441
195,NCC31,12.695633368756642,Low Fat,0.019774239,Household,154.5972,OUT027,1985,Medium,Tier 3,Supermarket Type3,3957.9171021431525
196,FDQ07,12.695633368756642,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,Tier 1,Grocery Store,1575.9460021576706
197,FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,Medium,Tier 2,Supermarket Type1,3078.418012568983
198,FDZ56,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,Tier 1,Supermarket Type1,2779.0502991488133
